KIDS_TILE,DMAG_R
KIDS_330.1_-30.2,0.06963767111301422
KIDS_138.0_1.5,-0.04078111052513123
KIDS_31.9_-29.2,0.005350540392100811
KIDS_342.5_-31.2,0.04521514102816582
KIDS_180.0_0.5,0.01653885096311569
KIDS_204.0_0.5,-0.06277760863304138
KIDS_158.4_2.5,0.05371639877557755
KIDS_164.0_-1.5,-0.03890103474259377
KIDS_136.0_-1.5,0.03131520003080368
KIDS_177.5_2.5,0.007217632606625557
KIDS_31.6_-28.2,0.02686312235891819
KIDS_41.6_-33.1,0.0308554470539093
KIDS_341.6_-30.2,0.04168049991130829
KIDS_183.0_0.5,-0.01456318795681
KIDS_336.3_-28.2,0.02527070790529251
KIDS_139.0_-1.5,0.03330038115382195
KIDS_37.6_-32.1,0.05134039744734764
KIDS_234.0_-0.5,0.01212930679321289
KIDS_140.4_2.5,0.01691490411758423
KIDS_138.0_-0.5,0.05618483573198318
KIDS_333.5_-30.2,0.013270303606987
KIDS_30.9_-33.1,-0.03773084282875061
KIDS_213.0_1.5,0.04065648466348648
KIDS_211.0_-1.5,0.02257782593369484
KIDS_134.0_-0.5,0.04061076045036316
KIDS_217.6_-2.5,0.1098452210426331
KIDS_214.0_0.5,0.0399194248020649
KIDS_211.0_-0.5,0.02481791749596596
KIDS_15.4_-33.1,-0.01993194781243801
KIDS_180.0_-1.5,0.0214324127882719
KIDS_211.6_-2.5,0.03637281060218811
KIDS_339.7_-28.2,0.02440770715475082
KIDS_0.0_-28.2,0.03957115113735199
KIDS_196.5_2.5,0.0105370469391346
KIDS_221.0_-1.5,0.007849261164665222
KIDS_216.0_-1.5,0.04517935216426849
KIDS_341.8_-29.2,0.03763582929968834
KIDS_4.5_-28.2,0.04813461005687714
KIDS_212.0_-1.5,-0.00165890529751777
KIDS_218.0_-1.5,0.0298636257648468
KIDS_174.0_1.5,0.04086482524871826
KIDS_38.0_-33.1,0.02576147019863129
KIDS_210.6_2.5,0.03059075772762299
KIDS_181.5_-2.5,0.04231908172369003
KIDS_47.1_-27.2,0.0365263931453228
KIDS_36.0_-34.1,0.02191956341266632
KIDS_178.0_1.5,0.03660418838262558
KIDS_210.6_-2.5,0.03990628570318222
KIDS_29.9_-30.2,0.08847499638795853
KIDS_338.6_-28.2,0.01999363675713539
KIDS_183.5_2.5,0.04162807017564774
KIDS_180.0_1.5,0.02588067203760147
